taxon,id
Achnanthes coarctata,0
Achnanthidium affine,1
Achnanthidium atomus,2
Achnanthidium caledonicum,3
Achnanthidium catenatum,4
Achnanthidium druartii,5
Achnanthidium exiguum (Gogorevia exilis),6
Achnanthidium exile,7
Achnanthidium gracillimum,8
Achnanthidium latecephalum,9
Achnanthidium neomicrocephalum,10
Achnanthidium pfisteri,11
Achnanthidium rosenstockii,12
Achnanthidium sieminskae,13
Achnanthidium temniskovae,14
Achnanthidium trinode,15
Actinocyclus normanii,16
Adlafia bryophila,17
Adlafia minuscula,18
Amphipleura pellucida,19
Amphora aequalis,20
Amphora copulata,21
Amphora hemicyclus,22
Amphora minutissima,23
Amphora ovalis,24
Astartiella bahusiensis,25
Aulacoseira pusilla,26
Berkeleya rutilans,27
Brachysira neoexilis,28
Caloneis aerophila,29
Caloneis amphisbaena,30
Caloneis bacillum,31
Caloneis fontinalis,32
Caloneis macedonica,33
Caloneis schumanniana,34
Caloneis silicula,35
Caloneis tenuis,36
Caloneis vasileyevae,37
Chamaepinnularia muscicola,38
Chamaepinnularia submuscicola,39
Cocconeis neothumensis,40
Craticula accomoda,41
Craticula ambigua,42
Craticula buderi,43
Craticula halophila,44
Craticula minusculoides,45
Craticula molestiformis,46
Craticula simplex,47
Crenotia thermalis,48
Cyclotella costei,49
Cyclotella ocellata,50
Cylindrotheca closterium,51
Cylindrotheca gracilis,52
Cymatopleura solea = Surirella librile,53
Cymbella affinis,54
Cymbella compacta,55
Cymbella convexa,56
Cymbella diminuta = Cymbopleura diminuta,57
Cymbella excisa,58
Cymbella excisiformis,59
Cymbella kolbei,60
Cymbella lange-bertalotii,61
Cymbella omaniana,62
Cymbella parva,63
Cymbella superparva,64
Cymbella tumida,65
Cymbella vulgata,66
Cymbellonitzschia diluviana,67
Cymbopleura amphicephala,68
Cymbopleura frequens,69
Cymbopleura rhomboidea,70
Denticula subtilis,71
Diadesmis confervacea,72
Diatoma ehrenbergii,73
Diatoma polonica,74
Diatoma problematica,75
Didymosphenia geminata,76
Diploneis carloswetzelii,77
Diploneis fontanella,78
Diploneis gallica,79
Diploneis krammeri,80
Diploneis marginastriata,81
Diploneis metapumila,82
Diploneis modica,83
Diploneis oblongellopsis,84
Diploneis oculata,85
Diploneis praetermissa,86
Diploneis pseudopetersenii,87
Diploneis puellafallax,88
Diploneis separanda,89
Discostella asterocostata,90
Discostella stelligera,91
Discostella woltereckii,92
Encyonema caespitosum,93
Encyonema hebridicum,94
Encyonema lange-bertalotii,95
Encyonema leibleinii,96
Encyonema prostratum,97
Encyonema vulgare,98
Encyonopsis krammeri,99
Encyonopsis microcephala,100
Encyonopsis subminuta,101
Eolimna tantula,102
Epithemia sorex,103
Eunotia bilunaris,104
Eunotia exigua,105
Eunotia nymanniana,106
Eunotia paludosa,107
Eunotia paratridentula,108
Eunotia tenella,109
Eunotia valida,110
Fallacia insociabilis,111
Fallacia lenzii,112
Fallacia lucinensis,113
Fallacia pygmaea,114
Fallacia subhamulata,115
Fistulifera pelliculosa,116
Fragilaria austriaca,117
Fragilaria gracilis,118
Fragilaria mesolepta,119
Fragilaria microvaucheriae,120
Fragilaria neointermedia,121
Fragilaria pararumpens,122
Fragilaria pectinalis,123
Fragilaria radians,124
Fragilaria rumpens,125
Fragilaria saxoplanctonica,126
Fragilaria tenera,127
Fragilariforma atomus,128
Fragilariforma bicapitata,129
Fragilariforma virescens,130
Frustulia creuzburgensis,131
Frustulia vulgaris,132
Geissleria acceptata,133
Geissleria decussis,134
Gomphonella olivaceoides var. desestriata,135
Gomphonema acuminatum,136
Gomphonema amoenum,137
Gomphonema angustatum,138
Gomphonema angustivalva,139
Gomphonema angustum,140
Gomphonema auritum,141
Gomphonema campoduense,142
Gomphonema capitatum,143
Gomphonema clavatulum,144
Gomphonema clavatum,145
Gomphonema cymbelliclinum,146
Gomphonema dojranense,147
Gomphonema exilissimum,148
Gomphonema extentum,149
Gomphonema graciledictum,150
Gomphonema hebridense,151
Gomphonema hristovskii,152
Gomphonema innocens,153
Gomphonema jablanicense,154
Gomphonema jadwigiae,155
Gomphonema lateripunctatum,156
Gomphonema occultum,157
Gomphonema pala,158
Gomphonema parvuliforme,159
Gomphonema parvulius,160
Gomphonema productum,161
Gomphonema pseudobohemicum,162
Gomphonema sphenovertex,163
Gomphonema subangustatum,164
Gomphonema subclavatum,165
Gomphonema subtergestinum,166
Gomphonema varioreduncum,167
Gomphonema variscohercynicum,168
Gomphosphenia fontinalis,169
Gomphosphenia holmquistii,170
Grunowia solgensis,171
Grunowia tabellaria,172
Gyrosigma kuetzingii,173
Gyrosigma macrum,174
Gyrosigma obtusatum,175
Gyrosigma sciotense,176
Halamphora coffeaeformis,177
Halamphora normanii,178
Halamphora oligotraphenta,179
Halamphora veneta,180
Hannaea arcus,181
Hantzschia amphioxys,182
Hippodonta hungarica,183
Hippodonta linearis,184
Hippodonta neglecta,185
Hippodonta pumila,186
Humidophila brekkaensis,187
Humidophila gallica,188
Humidophila paracontenta,189
Humidophila perpusilla,190
Humidophila vidalii,191
Karayevia clevei,192
Karayevia laterostrata,193
Kolbesia ploenensis,194
Lindavia radiosa,195
Luticola acidoclinata,196
Luticola andina,197
Luticola goeppertiana,198
Luticola imbricata,199
Luticola imbricatiformis,200
Luticola lanceolata,201
Luticola muticoides,202
Luticola muticopsis,203
Luticola nana,204
Luticola nivalis,205
Luticola pseudoimbrincata,206
Luticola saprophila,207
Luticola similis,208
Luticola sp. 1,209
Luticola sp. 2,210
Luticola ventriconfusa,211
Luticola ventricosa,212
Mayamaea atomus,213
Mayamaea fossalis,214
Navicula associata,215
Navicula cari,216
Navicula cincta,217
Navicula cryptocephaloides,218
Navicula densilineolata,219
Navicula escambia,220
Navicula hofmanniae,221
Navicula kotschyi,222
Navicula lacuum,223
Navicula leptostriata,224
Navicula libonensis,225
Navicula notha,226
Navicula oblonga,227
Navicula oligotraphenta,228
Navicula oppugnata,229
Navicula pargemina,230
Navicula perminuta,231
Navicula praeterita,232
Navicula radiosa,233
Navicula rhynchocephala,234
Navicula rhynchotella,235
Navicula salinarum,236
Navicula salinicola,237
Navicula sp. 1,238
Navicula sparsistriata,239
Navicula subalpina,240
Navicula supergregaria,241
Navicula tenelloides,242
Navicula trivialis,243
Navicula vandamii,244
Navicula vilaplanii,245
Navicula viridula,246
Navicula viridulacalcis,247
Neidiomorpha binodiformis,248
Neidium affine,249
Neidium productum,250
Nitzschia acidoclinata,251
Nitzschia acula,252
Nitzschia alpina,253
Nitzschia aurariae,254
Nitzschia austriaca,255
Nitzschia bulnheimiana,256
Nitzschia capitellata,257
Nitzschia clausii,258
Nitzschia communis,259
Nitzschia dealpina,260
Nitzschia denticula,261
Nitzschia diversa,262
Nitzschia dubia,263
Nitzschia fibulafissa,264
Nitzschia filiformis,265
Nitzschia fossilis,266
Nitzschia frequens,267
Nitzschia graciliformis,268
Nitzschia gracilis,269
Nitzschia hantzschiana,270
Nitzschia heufleriana,271
Nitzschia lacuum,272
Nitzschia linearis,273
Nitzschia oligotraphenta,274
Nitzschia paleaeformis,275
Nitzschia perminuta,276
Nitzschia pura,277
Nitzschia regula,278
Nitzschia reversa,279
Nitzschia sigma,280
Nitzschia sigmoidea,281
Nitzschia sinuata,282
Nitzschia solgensis,283
Nitzschia solita,284
Nitzschia subtilis,285
Nitzschia tenuis,286
Nitzschia thermaloides,287
Nitzschia umbonata,288
Nitzschia valdestriata,289
Nitzschia vermicularoides,290
Nitzschia wuellerstorfii,291
Nupela lapidosa,292
Odontidium mesodon,293
Pantocksekiella comensis,294
Pantocksekiella delicatula,295
Paraplaconeis minor,296
Parlibellus protracta = protractus,297
Parlibellus protractoides,298
